ID,Class,Weapon,Type,Kind,Name
82081592,FO,FO,Rod Shoot,Special,Rod Shoot (Fo skill)
3533119346,FO,FO,Freeze Ignition,Special,Freeze Ignition (Fo skill)
2532986093,TE,TE,Poison Ignition,Special,Poison Ignition (Te skill)
2620269130,FI,FI,Double Saber Gear,Special,Double Saber Gear level 1 (Kamaitachi) (Fi skill)
2620268940,FI,FI,Double Saber Gear,Special,Double Saber Gear level 2 (Kamaitachi) (Fi skill)
2620269005,FI,FI,Double Saber Gear,Special,Double Saber Gear level 3 (Kamaitachi) (Fi skill)
192041748,RA,RA,Bind Bullet,Special,Bind Bullet (Ra skill)
2460168075,RA,RA,Upper Trap,Special,Upper Trap (Ra skill)
3643936161,RA,RA,Upper Trap,Special,Upper Trap (EX Trap) (Ra skill)
3727926333,RA,RA,Poison Trap,Special,Poison Trap (Ra skill)
2794244546,RA,RA,Poison Trap,Special,Poison Trap (EX Trap) (Ra skill)
3433218069,RA,RA,Mirage Shot,Special,Mirage Shot (Ra skill)
1201754534,RA,RA,Panic Shot,Special,Panic Shot (Ra skill)
2734794071,RA,RA,Jellen Shot,Special,Jellen Shot (Ra skill)
534488752,GU,GU,Stylish Roll hit,Ranged,S-Roll shoot 0 gear (Another S-Roll Arts Mode) (Gu skill)
2628225583,GU,GU,Stylish Roll hit,Ranged,S-Roll shoot 1 gear (Another S-Roll Arts Mode) (Gu skill)
3710533329,GU,GU,Stylish Roll hit,Ranged,S-Roll shoot 2 gear (Another S-Roll Arts Mode) (Gu skill)
2718316197,GU,GU,Stylish Roll hit,Ranged,S-Roll shoot 3 gear (Another S-Roll Arts Mode) (Gu skill)
844099599,BO,BO,Elemental Burst,Special,Fire Elemental Burst (Bo skill)
436531970,BO,BO,Elemental Burst,Special,Ice Elemental Burst (Bo skill)
3183103116,BO,BO,Elemental Burst,Special,Lightning Elemental Burst (Bo skill)
3999693063,BO,BO,Elemental Burst,Special,Wind Elemental Burst (Bo skill)
1812915089,BO,BO,Elemental Burst,Special,Light Elemental Burst (Bo skill)
606506553,BO,BO,Elemental Burst,Special,Dark Elemental Burst (Bo skill)
2094998893,HR,HR,Hero Counter (Sword),Melee,Hero Sword Step Attack after dodge (Hero Counter) (Hr skill)
669993200,HR,HR,Sword Weapon Action (Hero),Special,Hero Sword Weapon Action charge lv.2 (Aura High Charge) (Hr skill)
1089593935,HR,HR,Hero Counter (Talis),Ranged,Hero Talis Step Attack after dodge (Hero Counter) (Hr skill)
4105920492,HR,HR,Hero Counter (Talis),Ranged,Hero Talis Step Attack after dodge (Hero Counter) (Hr skill)
1905792389,HR,HR,Hero Counter (Twin Machine Guns),Ranged,Hero Twin Machine Guns Step Attack after dodge (Hero Counter) (Hr skill)
2268332858,HR,HR,Hero Time (Sword),Special,Hero Time Sword slashes (Hr skill)
170999070,HR,HR,Hero Time (Sword),Special,Hero Time Sword finish (Hr skill)
2268332813,HR,HR,Hero Time (Sword),Special,Hero Time Sword finish hard hit (Hr skill)
1266101764,HR,HR,Hero Time (Talis),Special,Hero Time Talis pull-in (Hr skill)
11556353,HR,HR,Hero Time (Talis),Special,Hero Time Talis slashes (Hr skill)
1233721870,HR,HR,Hero Time (Talis),Special,Hero Time Talis slashes while switched to Sword (Hr skill)
1233722348,HR,HR,Hero Time (Talis),Special,Hero Time Talis slashes while switched to Twin Machine Guns (Hr skill)
3480338695,HR,HR,Hero Time (Twin Machine Guns),Special,Hero Time Twin Machine Guns burst (Hr skill)
3274240781,HR,HR,Next Jump,Special,Next Jump (Hr skill)
2765954690,PH,PH,Dodge Counter Shot (Katana),Special,Dodge Counter Shot (Katana) (Ph skill)
2600842557,PH,PH,Dodge Counter Shot (Assault Rifle),Special,Dodge Counter Shot (Assault Rifle) (Ph skill)
3786184050,PH,PH,Phantom Marker (Assault Rifle),Special,Phantom Marker (Assault Rifle) explosion charge lv.1 (Ph skill)
3785421997,PH,PH,Phantom Marker (Assault Rifle),Special,Phantom Marker (Assault Rifle) explosion charge lv.2 (Ph skill)
2243620231,PH,PH,Phantom Time (Assault Rifle),Special,Phantom Time (Assault Rifle) (Ph skill)
1412080400,PH,PH,Phantom Time (Assault Rifle),Special,Phantom Time (Assault Rifle) final (Ph skill)
3301900032,PH,PH,Dodge Counter Shot (Rod),Special,Dodge Counter Shot (Rod) (Ph skill)
404882650,PH,PH,Phantom Marker (Rod),Special,Phantom Marker (Rod) explosion charge lv.1 (Ph skill)
404882329,PH,PH,Phantom Marker (Rod),Special,Phantom Marker (Rod) explosion charge lv.2 (Ph skill)
2995855500,PH,PH,Phantom Time (Rod),Special,Phantom Time (Rod) (Ph skill)
2682739872,PH,PH,Phantom Time (Rod),Special,Phantom Time (Rod) 2nd part (Ph skill)
2682739887,PH,PH,Phantom Time (Rod),Special,Phantom Time (Rod) 3rd part (Ph skill)
2682739886,PH,PH,Phantom Time (Rod),Special,Phantom Time (Rod) final lasers (Ph skill)
3703475885,ET,ET,Double Saber Weapon Action (Etoile) [Quick Take],Special,Etoile Double Saber Weapon Action (Quick Take) first-in-a-row (Et skill)
1299131728,ET,ET,Double Saber Weapon Action (Etoile) [Quick Take],Special,Etoile Double Saber Weapon Action (Quick Take) second-in-a-row (Et skill)
3668847151,ET,ET,Double Saber Quick Take,Special,Double Saber Quick Take (normal attack) (Et skill)
2428433047,ET,ET,Double Saber Gear (Etoile),Special,Etoile Double Saber Gear no gear (Et skill)
3674749665,ET,ET,Double Saber Gear (Etoile),Special,Etoile Double Saber Gear 1 gear (Et skill)
3668847214,ET,ET,Double Saber Step Slide Attack,Special,Double Saber Step Slide Attack (Et skill)
3668848108,ET,ET,Double Saber Step Guard,Special,Double Saber Step Guard (Et skill)
2848757556,ET,ET,Dual Blades Gear (Etoile),Special,Etoile Dual Blades Gear (Connect) first 3 hits (Et skill)
3689006720,ET,ET,Dual Blades Gear (Etoile),Special,Etoile Dual Blades Gear (Connect) semi-final hit (Et skill)
3689006745,ET,ET,Dual Blades Gear (Etoile),Special,Etoile Dual Blades Gear (Connect) final hit (Et skill)
2511501523,ET,ET,Dual Blades Gear (Etoile),Special,Etoile Dual Blades Gear (Full Connect) (Et skill)
2511501522,ET,ET,Dual Blades Gear (Etoile),Special,Etoile Dual Blades Gear slash (Full Connect) (Et skill)
1295321598,ET,ET,Wand Gear (Etoile),Special,Etoile Wand Gear projectile (Et skill)
3381519387,ET,ET,Wand Gear (Etoile),Special,Etoile Wand Gear 1st charge explosion (Et skill)
3381519386,ET,ET,Wand Gear (Etoile),Special,Etoile Wand Gear 2nd charge first explosion (Et skill)
3099099080,ET,ET,Wand Gear (Etoile),Special,Etoile Wand Gear 2nd charge big explosion (Et skill)
